date,open,high,low,close,volume,amount,code
2020-01-02,48.60354964,49.39849132,48.42010156,49.09274452,15934570,765516493.15,002594
2020-01-03,49.1233192,49.92845244,48.59335808,48.96025424,12993607,628361961.37,002594
2020-01-06,48.29780284,50.13228364,48.09397164,49.20485168,16987138,822172472.98,002594
2020-01-07,49.23542636,49.429066,48.68508212,48.9704458,9340058,449013435.67,002594
2020-01-08,48.4608678,49.2761926,48.0532054,48.18569568,11097445,529249404.07,002594
2020-01-09,48.664699,49.1233192,48.28761128,48.5627834,8921700,425352462.6,002594
2020-01-10,48.57297496,48.57297496,47.50286116,47.81879952,10929463,512929719.08,002594
2020-01-13,52.59864116,52.59864116,51.47756956,52.59864116,51882759,2662873914.8,002594
2020-01-14,56.05358,57.06254444,54.015268,54.46369664,61497596,3356918724.91,002594
2020-01-15,55.04461556,55.798791,53.28147568,54.33120636,29870523,1594534514.3,002594
2020-01-16,54.51465444,55.58476824,52.77189768,55.12614804,33573707,1778235678.36,002594
2020-01-17,54.89174216,60.639782,54.2190992,59.0600902,53060038,3022542423.36,002594
2020-01-20,58.3976388,61.0474444,57.582314,59.88560656,30077562,1742179866.54,002594
2020-01-21,58.82568432,58.83587588,57.6332718,57.80652832,20383657,1161444870.54,002594
2020-01-22,57.582314,61.658938,57.1746516,60.40537612,32797995,1927419433.55,002594
2020-01-23,59.10085644,63.06537328,58.61166156,60.97610348,29158496,1735366427.87,002594
2020-02-03,54.8815506,55.52361888,54.8815506,54.8815506,10039800,540735185.53,002594
2020-02-04,55.034424,58.60147,55.034424,57.43963216,36777530,2057907669.3,002594
2020-02-05,58.8053012,63.187672,58.08170044,61.97487636,44623025,2698234964.68,002594
2020-02-06,59.5696682,62.0156426,59.5187104,61.913727,30113181,1792085752.62,002594
2020-02-07,61.90353544,61.90353544,57.74537896,59.0091324,32128159,1868897083.38,002594
2020-02-10,60.3340352,64.57372416,59.9773306,62.09717508,35279646,2143782477.47,002594
2020-02-11,61.14936,61.27165872,59.39641168,60.17097024,19617574,1162310506.24,002594
2020-02-12,60.17097024,61.7608536,59.4677526,60.32384364,19745556,1171671704.85,002594
2020-02-13,59.620626,61.28185028,58.60147,58.6524278,23694703,1387055829.59,002594
2020-02-14,58.66261936,59.0091324,57.52116464,57.9899764,21117383,1205977325.29,002594
2020-02-17,58.00016796,59.68177536,58.00016796,59.60024288,20988900,1215249654.91,002594
2020-02-18,58.9072168,61.14936,58.87664212,60.60920732,22836532,1350970758.86,002594
2020-02-19,65.70498732,65.71517888,62.84115896,63.09594796,43747653,2773613068.11,002594
2020-02-20,64.38008452,69.4045236,64.31893516,69.4045236,64939094,4366081680.35,002594
2020-02-21,68.283452,69.57778012,66.93816608,68.79303,45518916,3046190980.67,002594
2020-02-24,66.67318552,68.42613384,66.20437376,67.4681272,35796879,2351741646.73,002594
2020-02-25,65.6336464,73.57287164,65.39924052,72.2072026,40743409,2786635361.11,002594
2020-02-26,71.11670568,77.2520248,70.321764,73.0734852,52276832,3774510844.19,002594
2020-02-27,73.05310208,74.5512614,69.38414048,71.3918778,27269996,1912686987.02,002594
2020-02-28,67.93693896,70.31157244,66.1941822,66.62222772,33825352,2251947903.34,002594
2020-03-02,66.8566336,68.51785788,65.225984,68.1305786,22564321,1492112197.82,002594
2020-03-03,71.1370888,71.5447512,68.75226376,69.17011772,27425292,1880749812.21,002594
2020-03-04,68.2324942,69.0987768,65.95977632,67.85540648,18093253,1198529239.81,002594
2020-03-05,68.30383512,68.91532872,66.754718,68.08981236,17000367,1128290419.9,002594
2020-03-06,66.754718,68.8439878,66.58146148,66.61203616,14720960,972613004.97,002594
2020-03-09,64.50238324,64.50238324,60.31365208,60.5888242,29247882,1789143869.38,002594
2020-03-10,58.7033856,62.678094,58.42821348,61.32261652,26680523,1578089168.49,002594
2020-03-11,61.93411012,62.3213894,59.7225416,59.875415,22221247,1327803130.2,002594
2020-03-12,58.40783036,58.76453496,56.9708204,58.12246668,23238254,1319050413.39,002594
2020-03-13,54.8305928,57.582314,53.3528166,56.72622296,21319807,1162290579.74,002594
2020-03-16,57.67403804,58.42821348,54.91212528,54.91212528,23877348,1326361268.95,002594
2020-03-17,54.91212528,56.01281376,52.87381328,54.05603424,18091852,961588993.56,002594
2020-03-18,54.61657004,55.71725852,53.01649512,53.08783604,17268432,925695049.5,002594
2020-03-19,53.10821916,53.52607312,50.83550128,52.34385216,19445000,993678521.17,002594
2020-03-20,53.3018588,53.80124524,52.3846184,53.52607312,14829620,772921084.95,002594
2020-03-23,51.212589,51.7731248,48.80738084,49.0723614,24273976,1190535685.04,002594
2020-03-24,50.20362456,50.83550128,48.29780284,50.68262788,20502711,1002130021.74,002594
2020-03-25,52.5374918,53.8114368,52.01772224,53.250901,28978742,1504804536.94,002594
2020-03-26,53.50569,56.23702808,52.59864116,55.30959612,29662084,1588496992.78,002594
2020-03-27,56.4612424,57.1236938,55.48285264,55.82936568,22997249,1269534018.55,002594
2020-03-30,56.05358,58.88683368,55.92108972,57.30714188,32893740,1855914322.09,002594
2020-03-31,57.84729456,61.13916844,56.5122002,61.11878532,35017444,2037070401.56,002594
