date,open,high,low,close,volume,amount,code
2020-01-02,10.51624064,10.71164376,10.49847672,10.60506024,234949397,1404442753.0,601398
2020-01-03,10.60506024,10.69387984,10.58729632,10.64058808,152213047,911951562.0,601398
2020-01-06,10.58729632,10.7471716,10.5695324,10.60506024,226509705,1359917424.0,601398
2020-01-07,10.62282416,10.72940768,10.62282416,10.67611592,116804353,701615827.0,601398
2020-01-08,10.58729632,10.60506024,10.4807128,10.49847672,158559090,940552725.0,601398
2020-01-09,10.5695324,10.58729632,10.44518496,10.49847672,137713429,813806686.0,601398
2020-01-10,10.49847672,10.53400456,10.40965712,10.49847672,97837773,576580178.0,601398
2020-01-13,10.4807128,10.53400456,10.42742104,10.53400456,108991003,642791834.0,601398
2020-01-14,10.51624064,10.58729632,10.49847672,10.55176848,136770059,812389848.0,601398
2020-01-15,10.53400456,10.55176848,10.42742104,10.44518496,128890756,759512875.0,601398
2020-01-16,10.42742104,10.46294888,10.28530968,10.3030736,269031344,1572007903.0,601398
2020-01-17,10.32083752,10.37412928,10.3030736,10.33860144,103949027,605076653.0,601398
2020-01-20,10.32083752,10.40965712,10.3030736,10.37412928,103339962,602786615.0,601398
2020-01-21,10.33860144,10.35636536,10.23201792,10.24978184,143223669,828268482.0,601398
2020-01-22,10.23201792,10.28530968,10.14319832,10.28530968,128370788,738870049.0,601398
2020-01-23,10.23201792,10.26754576,10.1254344,10.16096224,200037655,1146238550.0,601398
2020-02-03,9.4148776,9.91226736,9.4148776,9.62804464,468039904,2524272183.0,601398
2020-02-04,9.57475288,9.82344776,9.52146112,9.770156,401385264,2178867252.0,601398
2020-02-05,9.75239208,9.80568384,9.62804464,9.75239208,250853805,1374458723.0,601398
2020-02-06,9.770156,9.82344776,9.66357248,9.770156,280995424,1538957671.0,601398
2020-02-07,9.71686424,9.71686424,9.5925168,9.66357248,237318996,1288428158.0,601398
2020-02-10,9.61028072,9.64580856,9.55698896,9.62804464,190238633,1027646561.0,601398
2020-02-11,9.64580856,9.71686424,9.61028072,9.69910032,198498450,1081002724.0,601398
2020-02-12,9.69910032,9.71686424,9.62804464,9.69910032,203914433,1109148701.0,601398
2020-02-13,9.6813364,9.6813364,9.5925168,9.61028072,199565762,1082005691.0,601398
2020-02-14,9.5925168,9.66357248,9.57475288,9.64580856,141576448,767126663.0,601398
2020-02-17,9.62804464,9.75239208,9.61028072,9.75239208,214194906,1169117310.0,601398
2020-02-18,9.71686424,9.73462816,9.66357248,9.69910032,184542440,1007061194.0,601398
2020-02-19,9.6813364,9.770156,9.6813364,9.73462816,204052382,1115986859.0,601398
2020-02-20,9.73462816,9.80568384,9.66357248,9.78791992,283668096,1552477582.0,601398
2020-02-21,9.75239208,9.80568384,9.71686424,9.75239208,223710293,1228187059.0,601398
2020-02-24,9.73462816,9.75239208,9.64580856,9.66357248,193329190,1053685893.0,601398
2020-02-25,9.5925168,9.62804464,9.57475288,9.61028072,230133275,1243466243.0,601398
2020-02-26,9.55698896,9.66357248,9.52146112,9.61028072,257968813,1393315557.0,601398
2020-02-27,9.5925168,9.62804464,9.57475288,9.5925168,222555623,1202215361.0,601398
2020-02-28,9.53922504,9.55698896,9.37934976,9.4148776,422937152,2256218764.0,601398
2020-03-02,9.4148776,9.52146112,9.39711368,9.52146112,239902317,1279829481.0,601398
2020-03-03,9.53922504,9.5925168,9.5036972,9.55698896,255403193,1374004536.0,601398
2020-03-04,9.53922504,9.57475288,9.52146112,9.57475288,134281589,721906815.0,601398
2020-03-05,9.5925168,9.69910032,9.55698896,9.69910032,330539760,1794965702.0,601398
2020-03-06,9.62804464,9.64580856,9.57475288,9.61028072,195949873,1059304456.0,601398
2020-03-09,9.48593328,9.5036972,9.4148776,9.43264152,288062032,1532677429.0,601398
2020-03-10,9.39711368,9.53922504,9.39711368,9.52146112,250820767,1336201306.0,601398
2020-03-11,9.5036972,9.53922504,9.45040544,9.45040544,169406955,904475654.0,601398
2020-03-12,9.4148776,9.45040544,9.36158584,9.39711368,246296488,1303003586.0,601398
2020-03-13,9.16618272,9.36158584,9.11289096,9.27276624,299724112,1553653695.0,601398
2020-03-16,9.27276624,9.39711368,9.13065488,9.18394664,304466304,1586443700.0,601398
2020-03-17,9.16618272,9.29053016,9.09512704,9.18394664,257712932,1329255603.0,601398
2020-03-18,9.20171056,9.2372384,9.07736312,9.07736312,202506811,1045181428.0,601398
