date,open,high,low,close,volume,amount,code,return,is_extreme
2020-03-04,1731.2157764,1743.0087994,1711.1676373,1732.3950787,86259523,1261123063.83,000001,-0.0020401231149441267,False
2020-03-05,1745.367404,1844.4287972,1737.1122879,1814.9462397,268660240,4089493523.03,000001,0.04655095766500188,False
2020-03-06,1790.1808914,1800.7946121,1771.3120546,1772.4913569,122853103,1858691259.32,000001,-0.023669744085904734,False
2020-03-09,1734.7536833,1737.1122879,1700.5539166,1704.0918235,166579354,2420392130.73,000001,-0.039353789206441975,False
2020-03-10,1695.8367074,1751.2639155,1695.8367074,1740.6501948,116786497,1709084565.32,000001,0.021226404613885374,False
2020-03-11,1741.8294971,1754.8018224,1724.1399626,1732.3950787,81438164,1201250682.16,000001,-0.004753828986540443,False
2020-03-12,1727.6778695,1750.0846132,1713.5262419,1731.2157764,98649711,1447436641.92,000001,-0.000680966999416458,False
2020-03-13,1639.230197,1719.4227534,1639.230197,1712.3469396,116976580,1669009835.48,000001,-0.010959013789719543,False
2020-03-16,1704.0918235,1705.2711258,1621.5406625,1621.5406625,140620218,1975824191.21,000001,-0.05448818528406968,False
2020-03-17,1621.5406625,1647.4853131,1548.4239199,1581.4443843,117784906,1582506075.02,000001,-0.02503812681899324,False
2020-03-18,1581.4443843,1597.9546165,1491.8174095,1498.8932233,138478437,1816836893.63,000001,-0.05361161209222433,False
2020-03-19,1495.3553164,1502.4311302,1404.5490393,1442.2867129,189145713,2313863663.48,000001,-0.03849713550228165,False
2020-03-20,1462.334852,1495.3553164,1445.8246198,1476.4864796,157835296,1967487818.45,000001,0.02343541597287143,False
2020-03-23,1415.16276,1456.4383405,1406.9076439,1432.8522945,107111364,1300469494.43,000001,-0.029998195885395026,False
2020-03-24,1462.334852,1495.3553164,1447.0039221,1487.1002003,118020026,1472909399.72,000001,0.03716098019027073,False
2020-03-25,1518.9413624,1541.3481061,1497.713921,1517.7620601,113695774,1467534956.16,000001,0.020408871631207033,False
2020-03-26,1507.1483394,1573.1892682,1500.0725256,1540.1688038,107519243,1408651057.34,000001,0.014655102240249617,False
2020-03-27,1562.5755475,1577.9064774,1542.5274084,1550.7825245,65301888,861618663.05,000001,0.006867634775488534,False
2020-03-30,1515.4034555,1537.8101992,1504.7897348,1526.0171762,66173879,852956240.25,000001,-0.01609846955101901,False
2020-03-31,1538.9895015,1543.7067107,1507.1483394,1509.506944,51337030,662915471.38,000001,-0.010878118147183017,False
2020-04-01,1516.5827578,1548.4239199,1511.8655486,1520.1206647,52083604,676070117.75,000001,0.007006646025524582,False
2020-04-02,1503.6104325,1529.5550831,1492.9967118,1529.5550831,51836504,663197628.35,000001,0.006187181377256677,False
2020-04-03,1511.8655486,1520.1206647,1480.0243865,1487.1002003,82534814,1047282400.16,000001,-0.02814884835152434,False
2020-04-07,1520.1206647,1526.0171762,1510.6862463,1518.9413624,87031371,1121200115.41,000001,0.02118557069937929,False
2020-04-08,1518.9413624,1523.6585716,1500.0725256,1507.1483394,52871614,676604872.29,000001,-0.007794271726818797,False
2020-04-09,1518.9413624,1520.1206647,1500.0725256,1502.4311302,40855377,522027888.31,000001,-0.003134798805371392,False
2020-04-10,1504.7897348,1530.7343854,1491.8174095,1508.3276417,66667495,853689950.23,000001,0.003916965446733894,False
2020-04-13,1494.1760141,1498.8932233,1470.5899681,1484.7415957,44621440,562008050.35,000001,-0.01576076753449543,False
2020-04-14,1491.8174095,1516.5827578,1482.3829911,1516.5827578,68608687,874856562.28,000001,0.021218870753217555,False
2020-04-15,1516.5827578,1524.8378739,1507.1483394,1517.7620601,65639640,843649273.39,000001,0.0007773027985620129,False
2020-04-16,1508.3276417,1508.3276417,1478.8450842,1495.3553164,78915498,997623816.45,000001,-0.014873072598955449,False
2020-04-17,1505.9690371,1537.8101992,1491.8174095,1520.1206647,133116477,1713215766.82,000001,0.016425867942016052,False
2020-04-20,1516.5827578,1538.9895015,1505.9690371,1531.9136877,81845583,1058524019.15,000001,0.0077280137314122135,False
2020-04-21,1568.472059,1615.644151,1568.472059,1586.1615935,212244834,2861879086.09,000001,0.034799275365339964,False
2020-04-22,1576.7271751,1582.6236866,1551.9618268,1560.2169429,103280274,1368222854.71,000001,-0.01649212792098378,False
2020-04-23,1560.2169429,1569.6513613,1546.0653153,1560.2169429,64698963,855052110.23,000001,0.0,False
2020-04-24,1553.1411291,1566.1134544,1546.0653153,1561.3962452,56600161,747473770.46,000001,0.0007555723819978115,False
2020-04-27,1568.472059,1608.5683372,1562.5755475,1592.058105,93682990,1263809737.41,000001,0.01944713493552151,False
